Language,Id,Signatory,Title,Abstract_Line
en,19233,Municipality of Torres Vedras,Adaptation goals,Municipality of Torres Vedras has 5 adaptation goals
en,2025001,Province of Las Palmas de Gran Canaria,Adaptation goals,Province of Las Palmas de Gran Canaria has 0 adaptation goals
en,2025003,Province of Granada,Adaptation goals,Province of Granada has 0 adaptation goals
en,31009,Copenhagen Municipality,Adaptation goals,Copenhagen Municipality has 4 adaptation goals
en,31163,Istanbul Metropolitan Municipality,Adaptation goals,Istanbul Metropolitan Municipality has 9 adaptation goals
en,31175,City of Paris,Adaptation goals,City of Paris has 27 adaptation goals
en,31179,Municipality of Rotterdam,Adaptation goals,Municipality of Rotterdam has 6 adaptation goals
en,31185,City of Warsaw,Adaptation goals,City of Warsaw has 5 adaptation goals
en,36152,City of Tallinn,Adaptation goals,City of Tallinn has 1 adaptation goal
en,36159,City of Lisbon,Adaptation goals,City of Lisbon has 11 adaptation goals
en,36247,City of Arezzo,Adaptation goals,City of Arezzo has 0 adaptation goals
en,36469,City of L'Aquila,Adaptation goals,City of L'Aquila has 0 adaptation goals
en,43921,City of Zagreb,Adaptation goals,City of Zagreb has 0 adaptation goals
en,43940,City of Malmö,Adaptation goals,City of Malmö has 6 adaptation goals
en,44076,Bursa Metropolitan Municipality,Adaptation goals,Bursa Metropolitan Municipality has 16 adaptation goals
en,46470,Municipality of Vitoria-Gasteiz,Adaptation goals,Municipality of Vitoria-Gasteiz has 0 adaptation goals
en,46514,City of Porto,Adaptation goals,City of Porto has 18 adaptation goals
en,50154,City of Turku,Adaptation goals,City of Turku has 7 adaptation goals
en,50664,Municipality of Almada,Adaptation goals,Municipality of Almada has 0 adaptation goals
en,50669,Municipality of Matosinhos,Adaptation goals,Municipality of Matosinhos has 25 adaptation goals
en,50678,Municipality of Évora,Adaptation goals,Municipality of Évora has 0 adaptation goals
en,50680,Municipality of Cascais,Adaptation goals,Municipality of Cascais has 14 adaptation goals
en,54403,City of Tampere,Adaptation goals,City of Tampere has 6 adaptation goals
en,54408,Aarhus Municipality,Adaptation goals,Aarhus Municipality has 3 adaptation goals
en,54419,City and Metropolitan Municipality of Strasbourg,Adaptation goals,City and Metropolitan Municipality of Strasbourg has 6 adaptation goals
en,54498,Municipality of Murcia,Adaptation goals,Municipality of Murcia has 4 adaptation goals
en,54510,Umeå Municipality,Adaptation goals,Umeå Municipality has 0 adaptation goals
en,55317,County Galway,Adaptation goals,County Galway has 4 adaptation goals
en,55324,Municipality of Guimarães,Adaptation goals,Municipality of Guimarães has 13 adaptation goals
en,55334,Municipality of Braga,Adaptation goals,Municipality of Braga has 6 adaptation goals
en,60125,Klaipėda City Municipality,Adaptation goals,Klaipėda City Municipality has 18 adaptation goals
en,60126,City of Tartu,Adaptation goals,City of Tartu has 3 adaptation goals
en,60127,Municipality of Thessaloniki,Adaptation goals,Municipality of Thessaloniki has 0 adaptation goals
en,60183,City of Rzeszów,Adaptation goals,City of Rzeszów has 5 adaptation goals
en,62171,Metropolitan Municipality of Rouen,Adaptation goals,Metropolitan Municipality of Rouen has 2 adaptation goals
en,62868,Eskişehir Metropolitan Municipality,Adaptation goals,Eskişehir Metropolitan Municipality has 12 adaptation goals
en,72920,Autonomous Community of Galicia,Adaptation goals,Autonomous Community of Galicia has 3 adaptation goals
en,72923,Autonomous Community of Andalusia,Adaptation goals,Autonomous Community of Andalusia has 1 adaptation goal
en,72924,Autonomous Community of Navarre,Adaptation goals,Autonomous Community of Navarre has 5 adaptation goals
en,72926,Autonomous Community of the Basque Country,Adaptation goals,Autonomous Community of the Basque Country has 4 adaptation goals
en,72927,Autonomous Community of Catalonia,Adaptation goals,Autonomous Community of Catalonia has 1 adaptation goal
en,73037,Autonomous Region of Friuli Venezia Giulia,Adaptation goals,Autonomous Region of Friuli Venezia Giulia has 0 adaptation goals
en,73054,Venetia Region,Adaptation goals,Venetia Region has 0 adaptation goals
en,73075,Brittany Region,Adaptation goals,Brittany Region has 0 adaptation goals
en,73095,Auvergne-Rhône-Alpes Region,Adaptation goals,Auvergne-Rhône-Alpes Region has 0 adaptation goals
en,73104,Region of Päijät-Häme,Adaptation goals,Region of Päijät-Häme has 0 adaptation goals
en,73193,State of Styria,Adaptation goals,State of Styria has 0 adaptation goals
en,74673,İzmir Metropolitan Municipality,Adaptation goals,İzmir Metropolitan Municipality has 0 adaptation goals
en,74723,Lesser Poland Voivodeship,Adaptation goals,Lesser Poland Voivodeship has 0 adaptation goals
en,826396,Municipality of Sintra,Adaptation goals,Municipality of Sintra has 9 adaptation goals
en,826425,Municipality of Caldas da Rainha,Adaptation goals,Municipality of Caldas da Rainha has 6 adaptation goals
en,826427,Municipality of Valongo,Adaptation goals,Municipality of Valongo has 6 adaptation goals
en,826429,Municipality of Figueira da Foz,Adaptation goals,Municipality of Figueira da Foz has 5 adaptation goals
en,826431,Municipality of Loulé,Adaptation goals,Municipality of Loulé has 16 adaptation goals
en,831674,Municipality of Amarante,Adaptation goals,Municipality of Amarante has 7 adaptation goals
en,832078,Municipality of Mafra,Adaptation goals,Municipality of Mafra has 2 adaptation goals
en,834069,City of Graz,Adaptation goals,City of Graz has 1 adaptation goal
en,918430,Municipality of Athienou,Adaptation goals,Municipality of Athienou has 0 adaptation goals
